Address, Symbol Name, Matching
0000007100000030,_init,false
0000007100000170,_fini,false
00000071000001E0,__nnDetailNintendoSdkRuntimeObjectFileRefer,false
00000071000001F0,nndetailRoGetRoDataStart,false
0000007100000200,nndetailRoGetRoDataEnd,false
0000007100000210,__nnDetailNintendoSdkRuntimeObjectFile,false
0000007100000220,__nnDetailNintendoSdkNsoFileRefer,false
0000007100000230,nnDetailNintendoSdkDeadStripChecker,false
0000007100000240,_ZN22AutoSwitchActivateAreaC2EPKc,false
00000071000002D0,_ZN22AutoSwitchActivateAreaC1EPKc,false
0000007100000360,_ZN22AutoSwitchActivateArea4initERKN2al13ActorInitInfoE,false
0000007100000400,_ZN4sead14SafeStringBaseIcED2Ev,false
0000007100000410,_ZN22AutoSwitchActivateArea7controlEv,false
0000007100000420,_ZN22AutoSwitchActivateArea14exePlayerCheckEv,false
0000007100000520,_ZN22AutoSwitchActivateArea7exeIdleEv,false
0000007100000530,_ZN22AutoSwitchActivateArea8calcAnimEv,false
0000007100000540,_ZNK2al9LiveActor14getNerveKeeperEv,false
0000007100000550,_ZN2al9LiveActor4initERKNS_13ActorInitInfoE,false
0000007100000560,_ZN2al9LiveActor26registerSwitchAreaDirectorEPNS_18SwitchAreaDirectorE,false
0000007100000570,_ZN2al9LiveActor8reappearEv,false
0000007100000580,_ZNK2al9LiveActor14isForcedHiddenEv,false
0000007100000590,_ZN2al9LiveActor12attackSensorEPNS_9HitSensorES2_,false
00000071000005A0,_ZNK2al9LiveActor14getOwnerSensorEv,false
00000071000005B0,_ZN2al9LiveActor10receiveMsgEPKNS_9SensorMsgEPNS_9HitSensorES5_,false
00000071000005C0,_ZN2al9LiveActor21receiveMsgScreenPointEPKNS_9SensorMsgEPNS_13ScreenPointerEPNS_17ScreenPointTargetE,false
00000071000005D0,_ZNK2al9LiveActor7getNameEv,false
00000071000005E0,_ZNK2al9LiveActor15getEffectKeeperEv,false
00000071000005F0,_ZNK2al9LiveActor14getAudioKeeperEv,false
0000007100000600,_ZNK2al9LiveActor20getStageSwitchKeeperEv,false
0000007100000610,_ZNK2al9LiveActor35isMovePartDisableStaticTouchEffectsEv,false
0000007100000620,_ZN2al9LiveActor7controlEv,false
0000007100000630,_ZN2al9LiveActor17calcAndSetBaseMtxEv,false
0000007100000640,_ZTv0_n24_NK2al9LiveActor7getNameEv,false
0000007100000660,_ZThn24_NK2al9LiveActor20getStageSwitchKeeperEv,false
0000007100000670,_ZN22AutoSwitchActivateAreaD1Ev,false
0000007100000680,_ZN22AutoSwitchActivateAreaD0Ev,false
00000071000006B0,_ZThn8_NK2al9LiveActor15getEffectKeeperEv,false
00000071000006C0,_ZThn16_NK2al9LiveActor14getAudioKeeperEv,false
00000071000006E0,_ZNK2al5Nerve12executeOnEndEPNS_11NerveKeeperE,false
00000071000006F0,nullsub_1,false
0000007100000700,_ZN4sead14SafeStringBaseIcED0Ev,false
0000007100000710,_ZNK4sead14SafeStringBaseIcE22assureTerminationImpl_Ev,false
0000007100000720,_ZN26AutoSwitchBlockWatcherAreaC2EPKc,false
00000071000007B0,_ZN26AutoSwitchBlockWatcherAreaC1EPKc,false
0000007100000840,_ZN26AutoSwitchBlockWatcherArea4initERKN2al13ActorInitInfoE,false
00000071000009A0,_ZN26AutoSwitchBlockWatcherArea7controlEv,false
00000071000009B0,_ZN26AutoSwitchBlockWatcherArea14exePlayerCheckEv,false
0000007100000AB0,_ZN26AutoSwitchBlockWatcherArea7exeIdleEv,false
0000007100000AC0,_ZN26AutoSwitchBlockWatcherArea8calcAnimEv,false
0000007100000AD0,_ZN26AutoSwitchBlockWatcherAreaD1Ev,false
0000007100000AE0,_ZN26AutoSwitchBlockWatcherAreaD0Ev,false
0000007100000B10,nullsub_2,false
0000007100000B30,_ZN18BlockHardWatchAreaC2EPKc,false
0000007100000BC0,_ZN18BlockHardWatchAreaC1EPKc,false
0000007100000C50,_ZN18BlockHardWatchArea4initERKN2al13ActorInitInfoE,false
0000007100000E10,_ZN18BlockHardWatchArea7controlEv,false
0000007100000E20,_ZN18BlockHardWatchArea14exePlayerCheckEv,false
0000007100000F50,_ZN18BlockHardWatchArea7exeIdleEv,false
0000007100000F60,_ZN18BlockHardWatchArea8calcAnimEv,false
0000007100000F70,_ZN18BlockHardWatchAreaD1Ev,false
0000007100000F80,_ZN18BlockHardWatchAreaD0Ev,false
0000007100000FC0,nullsub_3,false
0000007100000FD0,_ZN27CameraDirectionSwitchOnAreaC2EPKc,false
0000007100001020,_ZN27CameraDirectionSwitchOnAreaC1EPKc,false
0000007100001090,_ZN27CameraDirectionSwitchOnArea4initERKN2al12AreaInitInfoE,false
0000007100001150,_ZNK2al7AreaObj7getNameEv,false
0000007100001160,_ZNK2al7AreaObj20getStageSwitchKeeperEv,false
0000007100001170,_ZN36CameraPoserKinopioBrigadeObserveAreaC2EPKc,false
0000007100001210,_ZN36CameraPoserKinopioBrigadeObserveAreaC1EPKc,false
00000071000012C0,_ZN36CameraPoserKinopioBrigadeObserveArea4initERKN2al13ActorInitInfoE,false
00000071000013E0,_ZN36CameraPoserKinopioBrigadeObserveArea5checkEv,false
00000071000014F0,_ZN36CameraPoserKinopioBrigadeObserveArea7controlEv,false
0000007100001560,_ZN36CameraPoserKinopioBrigadeObserveAreaD1Ev,false
0000007100001570,_ZN36CameraPoserKinopioBrigadeObserveAreaD0Ev,false
00000071000015A0,_ZN19EnemyDeathWatchArea9initLinksERKN2al13ActorInitInfoEPNS0_9LiveActorE,false
0000007100001720,_ZN19EnemyDeathWatchAreaC1EPKcPN2al9LiveActorE,false
00000071000017C0,_ZN19EnemyDeathWatchArea4initERKN2al13PlacementInfoERKNS0_13ActorInitInfoE,false
0000007100001840,_ZN19EnemyDeathWatchAreaC2EPKcPN2al9LiveActorE,false
00000071000018D0,_ZN19EnemyDeathWatchArea7controlEv,false
00000071000019B0,_ZN19EnemyDeathWatchArea8calcAnimEv,false
00000071000019C0,_ZN19EnemyDeathWatchAreaD1Ev,false
00000071000019D0,_ZN19EnemyDeathWatchAreaD0Ev,false
0000007100001A00,_ZN16FrameOutCtrlAreaC2EPKc,false
0000007100001A50,_ZN16FrameOutCtrlAreaC1EPKc,false
0000007100001AB0,_ZN16FrameOutCtrlArea4initERKN2al12AreaInitInfoE,false
0000007100001B40,_ZN33PlayerCollisionFallOutReturnPointC2EPKc,false
0000007100001C10,_ZN33PlayerCollisionFallOutReturnPointC1EPKc,false
0000007100001CF0,_ZN33PlayerCollisionFallOutReturnPoint4initERKN2al13ActorInitInfoE,false
0000007100001E10,_ZN33PlayerCollisionFallOutReturnPoint18initAfterPlacementEv,false
0000007100001EF0,_ZN33PlayerCollisionFallOutReturnPoint7controlEv,false
0000007100001FA0,_ZNK33PlayerCollisionFallOutReturnPoint14tryIsInAreaObjERKN4sead7Vector3IfEE,false
0000007100001FB0,_ZN33PlayerCollisionFallOutReturnPointD1Ev,false
0000007100001FC0,_ZN33PlayerCollisionFallOutReturnPointD0Ev,false
0000007100001FF0,_ZN39PlayerCollisionFallOutReturnPointHolderC2Ev,false
0000007100002020,_ZN39PlayerCollisionFallOutReturnPointHolder19registerReturnPointEPK33PlayerCollisionFallOutReturnPoint,false
0000007100002050,_ZNK39PlayerCollisionFallOutReturnPointHolder17tryIsInAreaObjAnyEPN4sead7Vector3IfEERKS2_,false
0000007100002130,_ZNK39PlayerCollisionFallOutReturnPointHolder15getSceneObjNameEv,false
0000007100002140,_ZN2al9ISceneObj26initAfterPlacementSceneObjERKNS_13ActorInitInfoE,false
0000007100002150,_ZN2al9ISceneObj12initSceneObjEv,false
0000007100002160,_ZN25PlayerCollisionYPlaneAreaC2EPKc,false
00000071000021C0,_ZN25PlayerCollisionYPlaneAreaC1EPKc,false
0000007100002240,_ZN25PlayerCollisionYPlaneArea4initERKN2al12AreaInitInfoE,false
0000007100002250,_ZN25PlayerCollisionYPlaneArea19getResultCheckArrowEPKN2al13IUseCollisionE,false
0000007100002350,_ZN21ProjectAreaObjFactoryC2Ev,false
00000071000023A0,_ZNK2al7FactoryIPFPNS_7AreaObjEPKcEE11convertNameES4_,false
